City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,kavaratti,10.5669,72.642,27.52,71,77,3.15,IN,1737755945
191,jiujiang,29.7333,115.9833,9.24,84,100,8.25,CN,1737755946
192,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,6.17,EC,1737755948
193,mawlaik,23.6333,94.4167,11.86,50,0,0.25,MM,1737755949
194,antofagasta,-23.65,-70.4,21.6,81,82,3.42,CL,1737755950
195,meulaboh,4.1363,96.1285,23.79,93,97,2.26,ID,1737755951
196,dzuunharaa,48.8523,106.4579,-13.4,81,100,4.57,MN,1737755952
197,puerto ayora,-0.7393,-90.3518,25.86,94,40,2.24,EC,1737755954
198,antonio enes,-16.2325,39.9086,24.32,97,100,1.47,MZ,1737755955
199,humahuaca,-23.2054,-65.3505,18.18,60,78,1.35,AR,1737755956
200,manali,13.1667,80.2667,24.05,89,1,1.47,IN,1737755957
201,lesosibirsk,58.2358,92.4828,-20.38,96,100,4.2,RU,1737755958
202,acapulco de juarez,16.8634,-99.8901,25.71,68,0,3.28,MX,1737755960
203,santo antonio do leverger,-15.8656,-56.0767,28.21,65,100,0.14,BR,1737755961
204,preobrazheniye,42.9019,133.9064,-5.4,56,4,2.57,RU,1737755962
205,banepa,27.6298,85.5214,6.18,76,20,2.06,NP,1737755963
206,lompoc,34.6391,-120.4579,21.94,18,0,5.14,US,1737755773
207,arkalyk,50.2486,66.9114,-17.02,74,100,4.24,KZ,1737755967
208,bonthe,7.5264,-12.505,25.22,81,4,3.16,SL,1737755968
209,konstantinovka,49.6167,127.9833,-27.88,100,65,1.34,RU,1737755969
210,utrik,11.2278,169.8474,26.62,69,66,7.94,MH,1737755970
211,flying fish cove,-10.4217,105.6791,21.82,100,100,0.0,CX,1737755972
212,kyshtovka,56.555,76.6271,-14.75,89,100,7.78,RU,1737755973
213,akrehamn,59.2667,5.1833,7.14,76,100,18.52,NO,1737755974
214,nadi,-17.8,177.4167,28.0,78,75,2.57,FJ,1737755975
215,high rock,26.6208,-78.2833,19.65,83,99,12.0,BS,1737755977
216,cartagena,10.3997,-75.5144,29.79,66,20,4.63,CO,1737755978
217,sadovoye,47.7764,44.5089,-1.89,98,100,1.47,RU,1737755979
218,leticia,-4.2153,-69.9406,29.03,79,40,2.06,CO,1737755980
219,turkestan,43.3333,68.25,-6.72,71,5,1.2,KZ,1737755982
220,bereeda,11.8704,51.0579,22.96,69,48,5.03,SO,1737755983
221,yarmouth,41.7057,-70.2286,-0.94,67,75,0.89,US,1737755984
222,east london,-33.0153,27.9116,22.83,89,15,0.52,ZA,1737755985
223,ivdel',60.6911,60.4206,-10.6,81,97,3.07,RU,1737755986
224,son la,21.3167,103.9,12.41,64,0,0.98,VN,1737755988
225,i-n-salah,27.1935,2.4607,20.19,14,100,5.65,DZ,1737755989
226,kashgar,39.4547,75.9797,-3.44,22,0,4.0,CN,1737755990
227,pasuquin,18.3328,120.6177,21.97,100,20,1.54,PH,1737755991
228,port saint john's,-31.6229,29.5448,22.83,89,12,2.9,ZA,1737755992
229,hadibu,12.65,54.0333,22.2,72,70,5.52,YE,1737755994
230,choibalsan,48.0667,114.5,-10.75,79,85,5.42,MN,1737755995
231,winnemucca,40.973,-117.7357,8.03,19,0,3.6,US,1737755996
232,ha'il,27.5219,41.6907,10.01,37,0,4.12,SA,1737755997
233,port moresby,-9.4431,147.1797,24.68,94,40,3.09,PG,1737755998
